date;description;amount;category;merchant_city;type
5/0;1 R$ 1 1 R$;20.860,60;;;domestic
04/01;FARMACIA SAO JOAO 04/06;23,62;;;domestic
10/04;PAGAMENTO;9.232,62;PAGAMENTO;;payment
15/04;PAGAMENTO;3.000,00;PAGAMENTO;;payment
16/04;PAGAMENTO;4.000,00;PAGAMENTO;;payment
22/04;PAGAMENTO;3.000,00;PAGAMENTO;;payment
22/04;PAGAMENTO;500,00;PAGAMENTO;;payment
28/04;PAGAMENTO;1.500,00;PAGAMENTO;;payment
02/05;PAGAMENTO;500,00;PAGAMENTO;;payment
20/01;FARMACIA SAO JOAO 04/06;90,66;SAÚDE;PASSO FUNDO;domestic
22/01;PERFECT HEALTH 04/04;120,25;ALIMENTAÇÃO;PASSO FUNDO;domestic
22/01;FARMACIA SAO JOAO 04/06;38,34;SAÚDE;PASSO FUNDO;domestic
16/10;STREET WEAR COMPAN07/10;65,97;VESTUÁRIO;MARAU;domestic
23/01;MP *OCEANDROP 04/06;111,18;VESTUÁRIO;MARAU;domestic
19/10;STREET WEAR COMPAN07/10;49,99;VESTUÁRIO;MARAU;domestic
05/02;STREET WEAR COMPAN03/10;74,99;VESTUÁRIO;MARAU;domestic
13/11;FARMACIA SAO JOAO 06/06;44,78;SAÚDE;PASSO FUNDO;domestic
06/02;FARMACIA SAO JOAO 03/06;21,29;SAÚDE;PASSO FUNDO;domestic
24/11;FARMACIA SAO JOAO 06/06;22,65;SAÚDE;PASSO FUNDO;domestic
08/02;PANVEL FARMACIAS 03/03;83,88;SAÚDE;PASSO FUNDO;domestic
02/12;FARMACIA SAO JOAO 06/06;20,39;SAÚDE;PASSO FUNDO;domestic
11/02;DLOSS TRACKFIELD P03/06;203,25;SAÚDE;PASSO FUNDO;domestic
05/12;FARMACIA SAO JOAO 05/05;20,07;SAÚDE;PASSO FUNDO;domestic
13/02;BANANA JOE PASSO F03/03;98,26;SAÚDE;PASSO FUNDO;domestic
07/12;FARMACIA SAO JOAO 05/05;22,78;SAÚDE;PASSO FUNDO;domestic
18/02;FARMACIA SAO JOAO 03/06;54,25;SAÚDE;PASSO FUNDO;domestic
20/12;Manual Saude 05/06;99,12;SAÚDE;BARUERI;domestic
18/02;FARMACIA SAO JOAO 03/06;46,74;SAÚDE;BARUERI;domestic
21/12;297 BF PFUN 05/10;137,97;VESTUÁRIO;PASSO FUNDO;domestic
24/02;PANVEL FARMACIAS 03/03;58,09;VESTUÁRIO;PASSO FUNDO;domestic
26/12;FARMACIA SAO JOAO 05/05;59,41;SAÚDE;SOLEDADE;domestic
25/02;FARMACIA SAO JOAO 03/06;33,12;;;domestic
09/03;FARMACIA SAO JOAO 02/06;37,19;;;domestic
09/03;FARMACIA SAO JOAO -;0,20;;;domestic
16/03;FARMACIA SAO JOAO 02/06;67,07;;;domestic
16/03;FARMACIA SAO JOAO -;0,10;;;domestic
17/03;PANVEL FARMACIAS 02/03;44,07;;;domestic
17/03;PANVEL FARMACIAS -;0,04;;;domestic
20/03;FARMACIA SAO JOAO 02/06;65,57;;;domestic
20/03;FARMACIA SAO JOAO -;0,10;;;domestic
23/03;FARMACIA SAO JOAO 02/04;20,86;;;domestic
